quant_trading_engine  | 2026-03-23 13:18:46 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал LINK/USDT Williams R ПРОПУЩЕН: устарел на 4726с
quant_trading_engine  | 2026-03-23 13:18:49 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал DOT/USDT Momentum ATR ПРОПУЩЕН: устарел на 229с
quant_trading_engine  | 2026-03-23 13:18:49 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал DOT/USDT Opening Range ПРОПУЩЕН: устарел на 229с
quant_trading_engine  | 2026-03-23 13:18:53 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал DOT/USDT Range Expansion ПРОПУЩЕН: устарел на 4733с
quant_trading_engine  | 2026-03-23 13:18:53 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал DOT/USDT Williams R ПРОПУЩЕН: устарел на 4733с
quant_trading_engine  | 2026-03-23 13:18:53 | INFO     | services.signal_engine.engine:_process_ohlcv:292 - 💤 [TRX/USDT] Regime Detection: Низкая волатильность (рынок спит)
quant_trading_engine  | 2026-03-23 13:18:53 | INFO     | services.signal_engine.engine:_process_ohlcv:292 - 💤 [LINK/USDT] Regime Detection: Низкая волатильность (рынок спит)
quant_trading_engine  | 2026-03-23 13:18:55 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал LTC/USDT Opening Range ПРОПУЩЕН: устарел на 235с
quant_trading_engine  | 2026-03-23 13:18:55 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал LTC/USDT Williams R ПРОПУЩЕН: устарел на 235с
quant_trading_engine  | 2026-03-23 13:18:59 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал LTC/USDT Momentum ATR ПРОПУЩЕН: устарел на 239с
quant_trading_engine  | 2026-03-23 13:19:03 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал BCH/USDT Momentum ATR ПРОПУЩЕН: устарел на 243с
quant_trading_engine  | 2026-03-23 13:19:03 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал BCH/USDT Opening Range ПРОПУЩЕН: устарел на 243с
quant_trading_engine  | 2026-03-23 13:19:04 | INFO     | services.signal_engine.engine:_process_ohlcv:292 - 💤 [TRX/USDT] Regime Detection: Низкая волатильность (рынок спит)
quant_trading_engine  | 2026-03-23 13:19:04 | INFO     | services.signal_engine.engine:_process_ohlcv:292 - 💤 [TRX/USDT] Regime Detection: Низкая волатильность (рынок спит)
quant_trading_engine  | 2026-03-23 13:19:04 | INFO     | services.signal_engine.engine:_process_ohlcv:292 - 💤 [TRX/USDT] Regime Detection: Низкая волатильность (рынок спит)
quant_trading_engine  | 2026-03-23 13:19:04 | ERROR    | core.execution.engine:_close_position:855 - Error closing SOL/USDT: 'SOL/USDT'
quant_trading_engine  | 2026-03-23 13:19:05 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал LTC/USDT Pullback ПРОПУЩЕН: устарел на 1145с
quant_trading_engine  | 2026-03-23 13:19:05 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал LTC/USDT Range Expansion ПРОПУЩЕН: устарел на 4745с
quant_trading_engine  | 2026-03-23 13:19:05 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал LTC/USDT Williams R ПРОПУЩЕН: устарел на 4745с
quant_trading_engine  | 2026-03-23 13:19:07 | INFO     | services.signal_engine.engine:_process_ohlcv:292 - 💤 [LINK/USDT] Regime Detection: Низкая волатильность (рынок спит)
quant_trading_engine  | 2026-03-23 13:19:08 | INFO     | services.signal_engine.engine:_process_ohlcv:224 - 💤 [BCH/USDT] Тренд слишком слабый (ADX 15m=14.88 < 20). Пропускаю Momentum ATR
